action	Acción
screenshot_border_color.h	This parameter defines the background color given to the ordinal numbers of the markers during the compilation of a documentation file. The RGB values are taken from the HEX table for the colors blue, green and red in the following format: 'RRGGBB'. The default value is 'ffffff', the color white. The new setting applies to all macros recorded after the setting was redefined.
search_factor	Factor de búsqueda para elementos trasladado
search_factor.h	Sometimes elements in a Windows application are not located exactly at the same position as in the original recording. datango producer then tries to find the element in the surrounding of the expected position. This parameter determines the number of spots in which datango producer should search for the element. The search spots are always located half the height and half the width of the wanted element away from the original outline of the element. Moved elements are only searched for by this mechanism if the option ' Interactive Rerercording' is deactivated.
show_bubble_text	Mostrar texto de leyenda
show_bubble_text.h	The content of the text bubbles will be used for the documentation file. If deactivated only the screenshots will be used.
singledoc_headinglevel	Nivel del título para documentos únicos
singledoc_headinglevel.h	This variable defines the structure level for the headlines in the Word documentation created for individual projects. Values greater than '1' are useful for the option of creating a master document later, which is to use a level higher for groups and project names. The default setting is '2'. This allows the easy creation of master documents.
span_is_link	Tratar <SPAN> como elementos <A>
span_is_link.h	Sometimes, the recognition of '<SPAN>' tag elements in the HTML code of a recorded web page fails, if it is unique to the recorded web application and cannot be found in the built in reference tables of datango producer. This option enforces datango producer to treat such an element like a usual '<A>' tag instead, preventing the recording from being terminated.
template.h	The template defined in this parameter is used by datango producer for generating the master documentation file for a group of projects.The Word template for the document is filed in the producers Install Directory '\macro_templates\standard\'. There are also a few alternative document templates for documentation. You may use one of your own templates as well.
translatable	Plantilla de traducción
use_demo_bubbles	Usar texto de la leyenda demostración
use_demo_bubbles.h	The text from the demo bubbles will be included in the documentation. Can be used in combination with 'Use practice bubble'.
use_only_window0	Grabar todo en ventana 0
use_only_window0.h	If this option is activated, all recorded actions are played back in the same browser window, no matter if the original application was multi window or not. If you want the lesson to be displayed also in multi window mode, this option must be deactivated.
use_practice_bubbles	Usar texto de la leyenda práctica
use_practice_bubbles.h	The text from the demo bubbles will be included in the documentation. Can be used in combination with 'Use demo bubble'.
wait	Esperar página nueva
wait.h	This parameter defines how long datango producer is waiting during the rerecording process for a new screen before trying to record the next action. The value is entered in milliseconds. By default, datango producer waits 2 seconds (2000ms) for the application to react to an action and to update the screen. In case the response time of your application is longer you can enter a higher value.
webrec	Grabación Web
webrec.h
winrec	Grabación Windows
winrec.h
winrerec	Grabar de nuevo Windows
winrerec.h
# ui_lang.js
msgReplaceScreenshot	¿Desea sustituir la captura de pantalla existente?
capReplaceScreenshot	Sustituir la captura de pantalla
msgReplacePagedump	¿Desea sustituir la capturación de página existente?
capReplacePagedump	Sustituir la capturación de página
capEditFreeMarker	Editar señalización libre
capEnterTextInput	Llenar campo de entrada
capRecordSettings	Configuración grabación
capDocSettings	Configuración documentation
capScores	Puntuación
msgSelectRadio	Seleccionar opción\n(ESC para cancelar)
msgSelectGeneralAction	Haga clic sobre el elemento\n(ESC para cancelar)
msgSelectTCODE	Haga clic en el campo de código transacción\n(ESC para cancelar)
msgSelectMenuAction	Haga clic en el menú Click on the menu item\n(ESC para cancelar)
msgSelectTextInput	Seleccionar campo de entrada del texto\n(ESC para cancelar)
msgSelectSingle	Haga una selección\n(ESC para cancelar)
msgSelectStatusLine	Seleccionar línea de situación\n(ESC para cancelar)
msgSelectPosition	Seleccionar posición en la página\n(ESC para cancelar)
msgSelectBubblePos	Seleccionar posición de la leyenda\n(ESC para cancelar)
msgSelectHighlightPos	Seleccionar posición Select Highlight Position\n(ESC para cancelar)
msgConfirmButton	Posición del botón de confirmación\n(ESC para fin)
msgReRecordFromHere	Comienzo del actual macro
msgRecordPageLoaded	Confirma con OK cuando la página esta cargada completamente.
msgRecordPageCopy	Copiar página
msgRecordAcceptAnyway	\n¿Continuar de todas formas?
msgRecordStart	Clic para inicio
msgRecordNextAction	Próxima acción\n(ESC para fin)
msgRecordStoped	Grabación acabada.
msgRecordAborted	Grabación abortada.
msgStatusAction	Acción:
msgSelectHScroll	Seleccione barra de desplazamiento horizontal\n(ESC para cancelar)
msgSelectVScroll	Seleccione barra de desplazamiento vertical\n(ESC para cancelar)
msgLanguageIs	El idioma de la grabación es
msgNoTranslatableParams	El proyecto no contiene parámetros traducibles.
capPrepareTranslation	Preparar traducción
msgInserted	Insertado:
capPptImport	Importar PowerPoint
msgPptImport	Por favor abra la presentación y\nseleccione las diapositivas de importación.
width	Anchura
height	Altura
errNoRadiobutton	¡No hay botón de radio en esta posición!
errNoTextInput	¡No hay entrada de texto en esta posición!
errNoScreenshotFound	¡No hay captura de pantalla antes del macro!
errNoSelectSingle	¡Ningúna selección en esta posición!
errNoStatusLine	No hay línea de situación en esta posición!
errNoScreenshot	¡Error al generar la captura de pantalla!
errMissingScreenshot	No todas los macros tienen una captura de pantalla.\n¿Desea añadirlos ahora?
errReRecordTypeMismatch	No hay elemonto que coincide
errReRecordTypeMismatch2	El Tipo del elemento seleccionado no coincide con el original
errReRecordNewType	\nNUEVO:
errObjectNotRecognizedRightMouse	Objeto no reconocido: Derecho del ratón '
errObjectNotRecognizedLeftMouse	Objeto no reconocido: Izquierdo del ratón '
macGotoTourstop	Salto al tema
macEndUnit	Fin unidad
macQuickClick	Clic rápido
macExplanation	Explicación
macHinweis	Doc.: Aviso
macExplanationLong	Explicación
macInputRadio	Campo de opción
macGeneralAction	Hacer clic en ...
macInputText	Campo de texto 
macClickMenu	Clic en menú
macClickSAPMenu	Clic en men SAP
macSelectSingle	Campo de selección
macFreeMarker	Señalización libre
macNewHeading	Nuevo párrafo
macAddArrow	Añadir flecha
macDocumentation	Documentación
macKeyPress	Pulsar tecla
paramJumpTarget	Salto destino
dlgJumpTargets	Editar la ramificación
capNoTargets	Ningún macro encontrado
msgNoTargets	Ningún macro 'Comienzo de ramificación' encontrado
capNoBranchOn	Ningún comienzo de ramificación
msgNoBranchOn	No se pudo encontrar un correspondiente macro 'Comenzar ramificación'.
msgNoBranchOff	No se pudo encontrar un correspondiente macro 'Fin ramificación'.
capDeleteBranch	Eliminar ramificación
capDeleteForm	Eliminar formulario
msgDeleteForm	¿Eliminar el seleccionado modo de formulario?
msgNoFormOff	No se pudo encontrar un correspondiente macro 'Fin formulario'
msgNoFormOn	No se pudo encontrar un correspondiente macro 'Comenzar formulario'
capDeleteQuizSelection	Eliminar seleccionado examen rápido
msgDeleteQuizSelection	¿Eliminar el selecionado examen rápido?
msgNoQuizSelectionOff	No se pudo encontrar un correspondiente macro 'Fin examen rápido'
msgNoQuizSelectionOn	No  se pudo encontrar un correspondiente macro 'Comenzar examen rápido'
msgDeleteBranch	¿Eliminar la seleccionada ramificación?
capHaveBranch	Ramificación existe
msgHaveBranch	Existe una ramificación en este tema.
msgFormAndBranch	No se pueden usar en el mismo tema el modo ramificación y formulario.
capHaveForm	Modo formulario activado
msgHaveForm	El modo formulario ya está activado.
capHaveQuiz	Selección examen rápido activada
msgHaveQuiz	La selección examen rápido ya está activada.
paramCaption	Título
paramValue	Valor
paramValueHelp	Ayuda valor
paramType	Tipo
paramTransactionName	Nombre transacción
paramFieldname	Nombre del campo
paramExplanationDemo	Explicación demo
paramExplanationPrac	Explicación práctica
paramMarkerPosition	Posición señalización
paramReRecordLanguage	Idioma
paramText	Texto
lang_bg	Búlgaro
lang_cs	Checo
lang_da	Danés
lang_de-DE	Alemán
lang_el	Griego
lang_en-GB	Inglés (UK)
lang_en-US	Inglés (US)
lang_es-ES	Español
lang_et	Estonio 
lang_fi	Finlandés
lang_fr-CA	Francés (CA)
lang_fr-FR	Francés (FR)
lang_hi	Hindi
lang_hr-HR	Croata
lang_hu	Húngaro
lang_id	Indonesio
lang_it-IT	Italiano
lang_ja	Japonés
lang_ko	Coreano
lang_lt	Lituano
lang_lv	Letón
lang_nl-NL	Holandés
lang_nb	Noruego
lang_pl	Polaco
lang_pt-BR	Portugués (Brasil)
lang_pt-PT	Portugués (Portugal)
lang_ro	Rumano
lang_ru	Ruso
lang_sk	Eslovaco
lang_sl	Esloveno
lang_sv-SE	Sueco
lang_th	Tailandés
lang_tr	Turco
lang_uk	Ucraniano
lang_vi	Vietnamita
lang_zh-CN	Chino
lang_zh-TW	Chino (Taiwán)
paramStartAtCurrentMacro	Iniciar en actual macro
paramStrictTypeCheck	Estricta comprobación del tipo
paramKeepCrop	Mantener recorte
paramReRecordWait	Tiempo de respuesta(ms)
paramReRecordInteractive	Interactivo
paramReplaceBubbleTxt	Sustituir texto
paramLangDependentType	Tipo dependiente del idioma
paramRequiredType	Tipo requerido
paramFoundType	Tipo actual
msgSelectObject	Por favor muestre sobre el elemento de página correcto.
paramKeypressRemind	Ningún campo de texto ha sido grabado.
paramRecordHotkey	Entrada será interpretada como tecla de método abreviado.
paramNoRecordKeypress	La intorucción por el teclado no sera tratado.
paramNoRemindTillClick	No mostrar este mensaje hasta el próximo clic.
paramCheckPosition	Controlar tambien la vieja posición del control
paramConfirmTab	La tecla TAB confirma
paramConfirmEnter	La tecla INTRO confirma
paramConfirmButton	Clic en botón confirma
paramKeyName	Tecla
progressMacros	Macros tratados: %.0lf de %.0lf
msgGenerateDocumentation	Generar documentación
msgFNFContinueAnyway	\nno pudo ser cargado.\n¿ continuar de todas formas?
msgOpenDocumentation	¿Abrir la documentación generada?
msgDocFinished	Generación de la documentación terminado
msgRerecordingStopped	¡Ningun compatible control en la determinada posición! Grabar de nuevo parado.
msgRerecordSuccess	Grabar de nuevo completó con éxito.
docSAPMenuPath	Ruta del menú
docSAPTransaction	Transacción
cfgDocTemplate	Plantilla Doc.
cfgImageScale	Escala de imágen (%)
cfgMarkerBorder	Borde de marcación
cfgMarkerColor	Color de marcación
cfgMarkerTextColor	Color del texto marcación
cfgMarkerBgColor	Fondo de marcación
cfgGlobalIndex	Numeración global
cfgOnlyWindow0	Siempre ventana 0
cfgDefaultBubbleDuration	Duración de la leyenda
cfgUseDemoBubbles	Texto demo
cfgUsePracticeBubbles	Texto práctica
cfgMasteryScore	Puntuación como mínimo (%)
cfgWebrecSpanIsLink	SPANs son enlaces
cfgWebrecDivIsLink	DIVs son enlaces
docTableHeaderStep	Paso
docTableHeaderAction	Acción
docTableHeaderInput	Entrada
docTableHeaderExpectedResults	Rsulatados esperados
docTableHeaderPassed	Aprovado
docTableHeaderFailed	Fallado
mchoice	Opción múltiple 
points	Puntos
points.h	Indica la puntuación para las respuestas correctas . La configuración  predeterminada es '1'.
correct_answer	Respuesta correcta
correct_answer.h
question	Pregunta
question.h	Contains the quiz questions and task respectively.
matchquestion	Pregunta
matchquestion.h	Contains the quiz questions and task respectively.
question_1	Pregunta 1
question_1.h	Contains the question and text respectively an answer must be assigned. 
question_2	Pregunta 2
question_2.h	Contains the question and text respectively an answer must be assigned. 
question_3	Pregunta 3
question_3.h	Contains the question and text respectively an answer must be assigned. 
question_4	Pregunta 4
question_4.h	Contains the question and text respectively an answer must be assigned. 
question_5	Pregunta 5
question_5.h	Contains the question and text respectively an answer must be assigned. 
question_6	Pregunta 6
question_6.h	Contains the question and text respectively an answer must be assigned. 
question_7	Pregunta 7
question_7.h	Contains the question and text respectively an answer must be assigned. 
question_8	Pregunta 8
question_8.h	Contains the question and text respectively an answer must be assigned. 
answer_1	Respuesta 1
answer_1.h	Contains a quiz answer.
answer_2	Respuesta 2
answer_2.h	Contains a quiz answer.
answer_3	Respuesta 3
answer_3.h	Contains a quiz answer.
answer_4	Respuesta 4
answer_4.h	Contains a quiz answer.
answer_5	Respuesta 5
answer_5.h	Contains a quiz answer.
answer_6	Respuesta 6
answer_6.h	Contains a quiz answer.
answer_7	Respuesta 7
answer_7.h	Contains a quiz answer.
answer_8	Respuesta 8
answer_8.h	Contains a quiz answer.
answer_1_correct	Respuesta 1 correcta
answer_1_correct.h	If this option has been activated, the corresponding answer is defined as correct.
answer_2_correct	Respuesta 2 correcta
answer_2_correct.h	If this option has been activated, the corresponding answer is defined as correct.
answer_3_correct	Respuesta 3 correcta
answer_3_correct.h	If this option has been activated, the corresponding answer is defined as correct.
answer_4_correct	Respuesta 4 correcta
answer_4_correct.h	If this option has been activated, the corresponding answer is defined as correct.
answer_5_correct	Respuesta 5 correcta
answer_5_correct.h	If this option has been activated, the corresponding answer is defined as correct.
answer_6_correct	Respuesta 6 correcta
answer_6_correct.h	If this option has been activated, the corresponding answer is defined as correct.
answer_7_correct	Respuesta 7 correcta
answer_7_correct.h	If this option has been activated, the corresponding answer is defined as correct.
answer_8_correct	Respuesta 8 correcta
answer_8_correct.h	If this option has been activated, the corresponding answer is defined as correct.
last_page_pause.h	Contains the step duration until the lesson will be closed.
last_page_pause	Pausa
show_nav_buttons	Mostrar contorles
show_nav_buttons.h	This option show or hide the navigation controls within the bubble.
shuffle_solutions	Mezclar solución
shuffle_solutions.h	If this option has been activated, the corresponding answers will be mixed and displayed in random sequence.
feedback	Realimentación
feedback_enable	Activar realimentación
feedback_enable.h	With this option the corresponding feedback text will be shown. The text can be entered global within the global setting dialog or individual within Macro-Editor when the option 'Show more' has been activated.
feedback_pass	Aprobado examen rápido
feedback_pass.h	Contains the text for correct answered questions. For this option 'Enable Feedback' must have been activated.
feedback_fail	Suspendido examen rápido
feedback_fail.h	Contains the text for incorrect answered questions. For this option 'Enable Feedback' must have been activated.
sqmaquiz	Rellenar el campo
fibquiz	Respuestas incrustadas 'Cloze'
connquiz	Conexión
matchquiz	Emparejamiento
mixquiz	Ordenar
quiz_alignment	Alineación
quiz_alignment.h	Enables the placement of answers horizontal or vertical.
qa_horizontal	horizontal
qa_vertical	vertical
scalequiz	Escala 
range	Área
range.h	Defines the start and end value of the slider. Both values must be linked with an hyphen (e.g. 2-9).
answer	Respuesta
answer.h	This parameter defines the answer as a number.
gridquiz	Reja
grid_list	Possible respuesta
grid_list.h	Enables the entry of several answers within this text field. The sequence of columns in the grid is concerned by the sequence of the text entries. All answers must be separated with a comma.
qt_text	Text entrada
qt_drop_down	Lista desplegable 
qt_drag_drop	Arrastrar y soltar
at_text	Texto
at_integer	Número entero
at_float	Coma flotante
at_regexp	Expresión regular
at_comma_list	Lista separada por comas
quiz_type	Tipo
quiz_type.h	Defina el tipo de contestación.
answer_type	Tipo
answer_type.h	This parameter defines the way to enter the answer. Answers can be entered as continuous text (also case sensitive), numeral or list answers, and regular expressions. 
quiz_selection_type	Tipo
quiz_selection_type.h	Enables a different sequence or display of all quizzes which are included in macro 'Quiz selection'. The option 'Random Choice' will show only one automatically choosen quiz as the option 'Shuffle Quizzes' will show all containing quizzes in any sequence.
force_multiple_choice	Forzar selección múltiple
force_multiple_choice.h	If this option has been activated, multiple choice will be also possible when only one correct answer is available.
more_answers	Más respuestas
mode_avail	Disponible en modo
mode_avail.h
one_for_all	Usar sólo primera lista de respuesta
one_for_all.h	If this option has been activated, only the answers within the first response field can be inserted in that cloze.
qst_random_choice	Selección aleatoria
qst_shuffle_quizzes	Mezclar examen rápido
quiz_eval	Evaluación examen rápido
fibtext	Respuestas incrustadas 'Cloze'
fibtext.h	Contains the cloze. Three underlines define the placeholder for corresponding words. Note: Several answera can be entered within one answering field. For this all answers have to be separated by a comma and the correct answer must be marked with an asterisk. E.g.: answer1, *answer2,  answer3
visual_effects	Activar efectos visuales
visual_effects.h
quiz_threshold	Resultado requerido (%)
quiz_threshold.h	Defines the value (in percent) to pass a quiz.
quiz_media	Medios
qm_file	Archivo de medios
qm_file.h	Allows you to upload an image, video or audio file to supporting the task description. The file will be displayed beside the task.
qm_width	Anchura
qm_width.h	Defines the width of the media file.
qm_height	Altura
qm_height.h	Defines the height of the media file.
qm_as_question	Mostrar en lugar de la pregunta
qm_as_question.h	If this option has been activated, the media file will be shown instead of the text question.
feedback_popup	Mostrar realimentación como ventana emergente.
feedback_popup.h	When this option has been activated, the corresponding feedback text will be shown as popup window. Otherwise the feedback text will be shown directly within the task window.
quiz_timeout	Límite de tiempo en segundos
quiz_timeout.h	Contains the text for time limited questions, which will be shown when the specified time limit has been expired. For this a time limit as well as the option 'Enable Feedback' must have been activated.
feedback_time	Tiempo agotado del examen rápido
feedback_time.h	Contains the text for time limited questions, which will be shown when the specified time limit has been expired. For this a time limit as well as the option 'Enable Feedback' must have been activated.
print_solution	Imprimir con soluciones
print_solution.h	If this option has been activated, the quiz solutions will be shown within the documentation.
workflow_enabled	Desarrollo del proceso 
workflow_enabled.h	Displays the process flow within HTML and Word documentation (except Job Help).
quizzes	examenes rápidos
quizzes.h
g_quiz_timeout	Límite de tiempo para completar examen rápido en segundos
g_quiz_timeout.h	If activated, an algorithm tries to position the practice bubble close to the referenced element at the best possible position. If deactivated the text bubble will always be positioned mid.
practice_bubble_at_element.h	If activated, an algorithm tries to position the practice bubble close to the referenced element at the best possible position. If deactivated the text bubble will always be positioned mid.
g_quiz_style_dir	Estilo del examen rápido
g_quiz_style_dir.h	This setting offers different style templates for quizzes. All corresponding quiz styles can be found in Workarea \ resource \ quiz_styles.
puzzlequiz	Puzzle
qp_pieces_x	Pieza horizontal
qp_pieces_x.h	The entered value defines the number of horizontal pieces of the origianl image.
qp_pieces_y	Pieza vertical
qp_pieces_y.h	The entered value defines the number of vertical pieces of the origianl image.
at_cs_text	Texto (distingue mayúscula de minúscula)
at_cs_comma_list	Lista separada por comas (distingue mayúscula de minúscula)
qt_cs_text	Entrada de texto (distingue mayúscula de minúscula)
qp_show_hint	Mostrar imagen de ayuda
qp_show_hint.h	If this option has been activated the original image will be displayed beside the puzzle for additional help.
qt_oneplace_puzzle	ordenar en un campo
qt_twoplace_puzzle	ordenar en un segundo campo
feedback_correct_solutions	Mostrar respuestas correctas
feedback_correct_solutions.h	When a question was answered incorrect, the correct answer will be shown within the feedback text when this parameter has been activated.
highlights	Resaltar
hotspotquiz	Área de imagen
hs_image	Imagen
hs_image.h	Includes the image file to define a hotspot. An image file can be added with the option 'Include File' or 'Replace Image' when creating a screenshot. The option 'Crop Doc Screenshot' is used to define the hotspot on selected image.
quiz_options	Opciones
g_quiz_skipping	Permitir saltarse el examen rápido
g_quiz_skipping.h	This parameter must be activated to allow to skip a quiz without answering. Thus all skipped answers will not be shown in the result and score, respectively. If this parameter has not been activated an answer must be entered to reach next question.
eval_type	Formato de evaluación
eval_type.h	Configures the detail level of displayed evaluation. 'Minimal' will display a short point overview, 'reduced' will show additionally all quizzes within a table, and 'full' will also include the correct answers.
et_full	completo
et_reduced	reducido
et_minimal	mínimo
proj_title	Nombre del proyecto
proj_title.h	Includes the project title as headline for the evaluation page.
bubble_orientation	Alineación leyenda
title.h	Contains the title of the quiz.
hotspot_define	Definir el área de imagen
hotspot_define.h
process_enable.h	When this parameter has been activated this topic will be shown within the process flow.
key	Key
g_no_praxis_links	Modo práctica sin flecha
generate_navprj	Navigationsprojekt Erzeugen
no_navmacroset	Aufgrund des fehlenden Navigationsmacrosets im Arbeitsbereich konnte kein Navigationsprojekt erzeugt werden.
tech_preview	* TECHNISCHE VORSCHAU *
support_warn	Wird nicht unterstützt von dks 6.3!
