action	Aktion
g_highlight_fillstyle.h	Dieser Parameter füllt den Innenbereich des Highlights mit der angegebenen Farbe oder dem angegebenen Bild. Auch hier ist Transparenz durch das verwendete Bild möglich. Es kann ein Bild aus dem Ordner 'widgets/highlight2' im aktiven Arbeitsbereich angegeben werden. Wenn es sich z.B. um eine PNG-Datei handelt, so kann diese eine prozentuale Transparenz beinhalten. Der Innenbereich des Highlights wird durch die Verwendung dieses Bildes für seine Generierung ebenfalls entsprechend transparent.
g_linktextpraxis.h	Sie können hier einen Text für die Fortsetzung der Lerneinheit im Praxismodus angeben, der als Text für den Link zum Fortsetzen in der angezeigten Bubble benutzt wird. Der Text kann HTML-Attribute enthalten. Es ist somit auch möglich, den Pfad zu einer Bilddatei zu verwenden. Der voreingestellte Link ist ein Bild. Wenn Sie ein eigenes Bild verwenden möchten, benötigen Sie diese Syntax: '<img src='${resource_dir}/next_red.gif' border=0>'\nHinweis: Der String '${resource_dir}' dient als Platzhalter und wird durch den datango producer später mit dem korrekten Pfad zum Ordner 'Resource' in Ihrem Arbeitsbereich ersetzt. Er muß immer im Pfad vorhanden sein, wenn kein absoluter Link verwendet wird. Wenn dieser Platzhalter nicht verwendet wird, kann das Abspielen von Lerneinheiten fehlerhaft sein. Wenn Sie eigene Bilder verwenden wollen, legen Sie diese deshalb bitte in den Ordner 'Resource'.
g_back_link.h	Sie können hier einen Text für die Fortsetzung der Lerneinheit im Praxismodus angeben, der als Text für den Link zum Fortsetzen in der angezeigten Bubble benutzt wird. Der Text kann HTML-Attribute enthalten. Es ist somit auch möglich, den Pfad zu einer Bilddatei zu verwenden. Der voreingestellte Link ist ein Bild. Wenn Sie ein eigenes Bild verwenden möchten, benötigen Sie diese Syntax: '<img src='${resource_dir}/prev_red.gif' border=0>'\nHinweis: Der String '${resource_dir}' dient als Platzhalter und wird durch den datango producer später mit dem korrekten Pfad zum Ordner 'Resource' in Ihrem Arbeitsbereich ersetzt. Er muß immer im Pfad vorhanden sein, wenn kein absoluter Link verwendet wird. Wenn dieser Platzhalter nicht verwendet wird, kann das Abspielen von Lerneinheiten fehlerhaft sein. Wenn Sie eigene Bilder verwenden wollen, legen Sie diese deshalb bitte in den Ordner 'Resource'.
g_close_link.h	Eine Lerneinheit im Praxis-Modus wird durch den Klick auf einen Link in der angezeigten Bubble geschlossen. Hierfür wird der hier angegebene Text verwendet. Der Text kann HTML-Attribute enthalten. Es ist somit möglich, den Pfad zu einer Bilddatei zu verwenden. Als Voreinstellung wird ein Bild verwendet. Wenn Sie ein eigenes Bild verwenden möchten, achten Sie bitte darauf, folgende Syntax einzuhalten: '<img src='${resource_dir}/close_red.gif' border=0>'\nHinweis: Der String '${resource_dir}' dient als Platzhalter und wird durch den datango producer später mit dem korrekten Pfad zum Ordner 'Resource' in Ihrem Arbeitsbereich ersetzt. Er muß immer im Pfad vorhanden sein, wenn kein absoluter Link verwendet wird. Wenn dieser Platzhalter nicht verwendet wird, kann das Abspielen von Lerneinheiten fehlerhaft sein. Wenn Sie eigene Bilder verwenden wollen, legen Sie diese deshalb bitte in den Ordner 'Resource'.
g_show_step_bubble.h	Option, um den Lernschritt im Testmodus anzeigen zu lassen. Hierbei wird in einer eingeblendeten Textbubble ein Link angeboten, der ein weiteres Fenster im Demo-Modus öffnet, in dem der entsprechende Schritt erklärt wird und was sich danach wieder automatisch schließt. Zusätzlich wird in der Textbubble für Texteingabefelder der Text aus dem Übungs-Modus angezeigt.
g_alternate_link.h	Dieser Parameter legt den verwendeten Text für den Link in der Textbubble für die Option 'Hinweis im Test-Modus' fest.
g_show_ok_bubble.h	Durch diese Option wird ein korrekt ausgeführter Schritt im Testmodus durch eine Textbubble mit dem Inhalt OK bestätigt.
g_bubblestyle_ok.h	Ist die Option 'OK im Testmodus' aktiviert, kann hier der Bubbletyp ausgewählt werden, mit dem der Hinweis angezeigt werden soll.
g_show_mouse.h	Diese Option blendet für Aktionen, die in der Anwendung mit der Maus durchgeführt werden müssen im Demo- und Praxis-Modus zusätzlich den Mauszeiger ein. Standardmäßig ist der Mauszeiger ausgeblendet.
menu_path:/main/doc/word_doc	Word-Dokument erzeugen
menu_path:/main/doc/doclet	Dokumentationsmakro einfügen
menu_path:/main/tools/translate	Sprachen
menu_path:/main/tools/addmac	Sonder-Makro einfügen
menu_path:/main/edit/addqmac	Quiz-Makro einfügen
# translations for settings dialog
arrow_len	Pfeil-Länge
arrow_len.h	Dieser Parameter definiert die Länge der Pfeil-Spitze im Makro 'Dok: Pfeil' in Pixel.
arrow_width	Pfeil-Breite
arrow_width.h	Dieser Parameter definiert die Breite der Pfeil-Spitze im Makro 'Dok: Pfeil' in Pixel.
atomize_scroll_buttons	Mehrere Klicks auf gleiche Scroll-Schaltfläche zusammenfassen
atomize_scroll_buttons.h	Durch diese Option werden mehrere Klicks auf die gleiche Scroll-Schaltfläche bei der Aufnahme automatisch zu einer einzigen Aktion zusammengefasst und in die Lerneinheit integriert.
autocrop	Automatisch Zuschneiden
autocrop.h
check_position	Alte Element-Position berücksichtigen
check_position.h	Durch diese Option wird bei der Suche nach einem Element seine vorher aufgenommene Position Berücksichtigt.
crop_min_h	Minimalhöhe (Pixel)
crop_min_h.h
crop_min_off_b	Unterer Rand (Pixel)
crop_min_off_b.h
crop_min_off_l	Linker Rand (Pixel)
crop_min_off_l.h
crop_min_off_r	Rechter Rand (Pixel)
crop_min_off_r.h
crop_min_off_t	Oberer Rand (Pixel)
crop_min_off_t.h
crop_min_w	Minimalbreite (Pixel)
crop_min_w.h
default_bubble_duration	Standard Bubbledauer
default_bubble_duration.h	Dieser Parameter bestimmt bei der automatisierten Aufnahme die Anzeigedauer von Textbubbles im Demo-Modus in Sekunden.
demo_bubble_at_element	Demo-Bubble am Element
demo_bubble_at_element.h	Durch diese Option wird während der automatisierten Aufnahme die Textbubble im Demo-Modus durch einen Algorithmus bestmöglich variabel in der Nähe des betroffenen Elements positioniert. Ist die Option ausgeschaltet, wird die Textbubble immer in der rechten unteren Ecke platziert.
demo_text_with_value	Demo-Text enthält Wert
demo_text_with_value.h	Durch diese Option werden bei Eingabefeldern die eingetragenen Werte im Bubble-Text angegeben, andernfalls steht in der Demo-Bubble nur 'Es wird das Feld xyz ausgefüllt'.
div_is_link	<DIV> als <A> Elemente behandeln
div_is_link.h	Falls die Erkennung von <DIV> Elementen in Einzelfällen scheitert, werden diese wie das <A> Element behandelt und der Aufnahmeprozess wird nicht unterbrochen.
doc.h	Auf der Basis der hier angegebenen Dokumentenvorlage für Microsoft Word wird die Dokumentation für ein Projekt erstellt.
doc_template	Vorlage Word-Dokumentation
dot_filter	Word-Dokumentenvorlage (*.dot)|*.dot
export_page_caption	Seiten-Titel exportieren
export_tourstop_name	Lernschritt-Titel exportieren
global_index_counter	Markierungs Index global zählen
global_index_counter.h	Ist diese Option aktiv, wird die Nummerierung von Markierungen bei jedem neuen Screenshot weiter fortgeführt und fängt nicht wieder bei '1' an.
heading_from_new_page	Überschriften aus Neue Seite Makro
heading_from_new_page.h	Mit dieser Option werden Kapitelüberschriften in der Dokumentation aus dem Titel des Makros 'Neue Seite' generiert.
heading_from_tourstop	Überschriften aus Lernschritt
heading_from_tourstop.h	Mit dieser Option werden Kapitelüberschriften der Dokumentation automatisch aus den Titeln der Lernschritte in die Lerneinheit übernommen.
headings	Überschriften
headings.h
hinweis_left_indent	Linker Einzug Hinweis-Tabelle
hinweis_left_indent.h	Dieser Parameter gibt den Einzug für die Textdarstellung der Hinweis-Makros in der Dokumentation vor. Die Angabe erfolgt numerisch in Punkten (Pt).
ignore_tourstop_start	Ersten Lernschritt ignorieren
ignore_tourstop_start.h	Standardmäßig wird der Erste Lernschritt am Anfang der Lerneinheit mit dem Namen 'Start' für die Dokumentation ignoriert, da dieser nur Initialisierungsinformationen für den datango trainer enthält. Ist die Option deaktiviert, wird dieser in die Dokumentation integriert.
image_caption_from_new_page	Bildunterschriften aus Neue Seite Makro
image_caption_from_new_page.h	Durch diese Option werden Bildunterschriften in der Dokumentation aus dem Titel des Makros 'Neue Seite' generiert.
image_scale	Bild Skalierung
image_scale.h	Dieser Parameter gibt den Skalierungsfaktor für in der Dokumentation verwendete Bilder in Prozent an.
images	Bilder
images.h
images_with_caption	Bilder mit Bildunterschrift
images_with_caption.h	Durch diese Option erhalten in der Dokumentation verwendete Bilder eine Bildunterschrift in der Form 'Abbildung #'. Das Symbol '#' wird dabei durch die fortlaufende Nummer der entsprechenden Abbildung ersetzt.
include_project_details	Projekt-Details einfügen
include_project_details.h	Diese Option sorgt dafür, dass Beschreibung und Bezeichnung des Projektes aus dem Projekt Explorer in die Dokumentation übernommen werden.
input_confirm_button	Eingabebestätigung Button
input_confirm_button.h	Durch diese Option wird ein Button-Klick für die Bestätigung von Eingabefeldern als Voreinstellung gesetzt. Dies lässt sich nach der Aufnahme im Makro-Editor jederzeit ändern.
input_confirm_enter	Eingabebestätigung Enter
input_confirm_enter.h	Durch diese Option wird die Enter-Taste wird für die Bestätigung von Eingabefeldern als Voreinstellung gesetzt. Dies lässt sich nach der Aufnahme im Makro-Editor jederzeit ändern.
input_confirm_tab	Eingabebestätigung TAB
input_confirm_tab.h	Durch diese Option wird die TAB-Taste für die Bestätigung von Eingabefeldern als Voreinstellung gesetzt. Dies lässt sich nach der Aufnahme im Makro-Editor jederzeit ändern.
insert_inactive_edit_macros	Makros für inaktive Edit-Felder erzeugen
insert_inactive_edit_macros.h	Durch diese Option wird bei der Aufnahme für die Aktivierung inaktiver Eingabefelder in SAP ein eigener Lernschritt mit entsprechendem Aktionsmakro erzeugt. Falls dieses Verhalten für die Erstellung unerwünscht ist, sollte diese Option deaktiviert werden.
interactive	Interaktives ReRecording
interactive.h	Durch diese Option kann bei auftretenden Problemen die Aufnahme unterbrochen und über Dialoge Parameter verändert oder das benötigte Element auf dem Bildschirm manuell per Mausklick ausgewählt werden. Ist 'Interaktives ReRecording' deaktiviert, bricht der Aktualisierungsprozess mit einer Fehlermeldung ab. Der producer schreibt ein Fehlerprotokoll.
marker_bg_color	Hintergrundfarbe Markierung
marker_bg_color.h	Dieser Parameter bestimmt die Hintergrundfarbe des Markierungstextes, der zu den Screenshots bei der Dokumentationsgenerierung hinzugefügt wird. Die Farbwerte werden hexadezimal als RGB-Werte Format 'RotRotGrünGrünBlauBlau' angegeben. Die Standardeinstellung ist 'gelb' (ffff80).
marker_border	Rahmenstärke Markierung
marker_border.h	Dieser Parameter definiert die breite der Rahmenlinie der erzeugten Markierungsrechtecke in der Dokumentation.
marker_color	Rahmenfarbe Markierung
marker_color.h	Dieser Parameter bestimmt die Farbe des Markierungsrahmens, der zu den Screenshots bei der Dokumentationsgenerierung hinzugefügt wird. Die Farbwerte werden hexadezimal als RGB-Werte Format 'RotRotGrünGrünBlauBlau' angegeben. Die Standardeinstellung ist rot (ff0000).
marker_offset	Offset Markierungsrechteck
marker_offset.h	Dieser Parameter definiert den hinzugefügten Offset um das markierte Objekt herum für das erzeugte Markierungsrechteck in Pixel.
marker_rect_radius	Radius Markierungsrechteck
marker_rect_radius.h	Abrundungsradius der Markierungen
marker_text_color	Textfarbe Markierung
marker_text_color.h	Dieser Parameter bestimmt die Farbe der Markierungsnummer, der zu den Screenshots bei der Dokumentationsgenerierung hinzugefügt wird. Die Farbwerte werden hexadezimal als RGB-Werte Format 'RotRotGrünGrünBlauBlau' angegeben. Die Standardeinstellung ist 'schwarz' (000000).
markers	Markierungen
markers.h
master_template	Dokumentenvorlage (Master-Dok)
master_template.h	Auf der Basis der hier angegebenen Dokumentenvorlage für Microsoft Word wird das Master-Dokument für eine Gruppe von Projekt-Dokumentationen erstellt.
new_release	Neue Version Rerecorden
new_release.h	Diese Option ermöglicht die Aktualisierung eines Projekts, wenn sich die Version der aufzuzeichnenden Anwendung geändert hat. Die erneute Aufnahme erfolgt in der selber Sprache, wodurch für das Erkennen der Elemente auf dem Bildschirm zusätzlich erkannte Bezeichner und Beschriftungen aus der Originalaufnahme herangezogen werden, was die Treffsicherheit bei leicht veränderten Bildschirmlayouts erhöht.
pot_filter	PowerPoint-Vorlage (*.pot)|*.pot
ppt_template	Vorlage PPT-Dokumentation
ppt_template.h	Auf der Basis der hier angegebenen Dokumentenvorlage für Microsoft PowerPoint wird die Dokumentation für ein Projekt erstellt.
practice_bubble_at_element	Übungs-Bubble am Element
practice_bubble_at_element.h	Durch diese Option wird während der automatischen Aufnahme die Textbubble im Übungs-Modus durch einen Algorithmus bestmöglich variabel in der Nähe des betroffenen Elements Positioniert. Ist die Option ausgeschaltet wird die Textbubble immer in der Mitte platziert.
rec	Aufnahme
rec.h
record_scroll	Scroll-Makros aufnehmen
record_scroll.h	Durch diese Option wird das Scrollen von Bildschirm- oder Fensterinhalten bei der automatisierten Aufnahme automatisch in Form von Scroll-Makros mit aufgezeichnet.
rects_with_index	Markierungen mit Nummer
rects_with_index.h	Die Markierungen auf dem in die Dokumentation eingefügten Screenshot tragen standardmäßig eine Zahl, damit der entsprechende Bubbletext zugeordnet werden kann. Wird die Einstellung deaktiviert, werden die Markierungen auf dem Screenshot ohne Nummern ausgegeben.
screenshot_border_color	Randfarbe für Screenshots
screenshot_border_color.h	Dieser Parameter bestimmt die Farbe des Screenshot-Rahmens, der zu den Screenshots bei der Dokumentationsgenerierung hinzugefügt wird. Die Farbwerte werden hexadezimal als RGB-Werte Format 'RotRotGrünGrünBlauBlau angegeben'. Die Standardeinstellung ist 'weiß' (ffffff). Die Einstellung gilt für alle nach dem Zeitpunkt der Änderung aufgenommenen Makros.
search_factor	Such-Faktor für verschobene Elemente
search_factor.h	Es kommt vor, dass sich Windows-Elemente der zu aktualisierenden Anwendung nicht an der gleichen Stelle wie bei der Erstaufnahme befinden. Der producer sucht dann im Umkreis um den erwarteten Ort nach dem Element. Die Anzahl der Stellen, an denen im Umkreis gesucht wird lässt sich über diesen Parameter bestimmen. Die Suchpunkte liegen haben immer die halbe Breite, bzw. Höhe des gesuchten Kontrollelements als Abstand zu dessen ursprünglichen Umrissen. Verschobene Elemente werden durch diesen Mechanismus nur gesucht, wenn die Option 'Interaktives ReRecording' deaktiviert ist.
show_bubble_text	Bubble-Texte anzeigen
show_bubble_text.h	Durch diese Option wird der Inhalt der Textbubbles in die Dokumentation übernommen. Ist diese Option deaktiviert, enthält die Dokumentation nur Screenshots.
singledoc_headinglevel	Überschriften-Level für Einzeldokumente
singledoc_headinglevel.h	Dieser Parameter legt die Gliederungsebene für die Überschriften in der generierten Word-Dokumentation für einzelne Projekte fest. Werte größer '1' sind sinnvoll, falls später ein Master-Dokument generiert werden soll, welches die höheren Ebenen für Gruppen- & Projekt-Namen verwenden soll. Die Standard-Einstellung ist '2'. Somit kann problemlos ein Master-Dokument generiert werden.
span_is_link	<SPAN> als <A> Elemente behandeln
span_is_link.h	Falls die Erkennung von <SPAN> Elementen in Einzelfällen scheitert, werden diese wie das <A> Element behandelt und der Aufnahmeprozess wird nicht unterbrochen.
template.h	Auf der Basis der hier angegebenen Dokumentenvorlage für Microsoft Word wird das Master-Dokument für eine Gruppe von Projekt-Dokumentationen erstellt. Im Ordner 'standard' im Verzeichnis 'macro_templates' im Programmordner des datango producer finden Sie einige Vorlagedateien.
translatable	Übersetzungsvorlage
use_demo_bubbles	Text aus Demo-Bubble verwenden
use_demo_bubbles.h	Durch diese Option wird für die Dokumentation der Text aus den Demo-Bubbles verwendet. Kann auch in Kombination mit 'Text aus Übungs-Bubble verwenden' genutzt werden.
use_only_window0	Alles in Window 0 aufnehmen
use_only_window0.h	Durch diese Option erscheinen nach einer Web-Aufnahme alle Aktionen, auch wenn es sich um eine Multi-Window-Applikation handelt, im selben Fenster. Damit auch die spätere Lerneinheit in mehreren Fenstern abgespielt wird, muss die Option deaktiviert werden.
use_practice_bubbles	Text aus Übungs-Bubble verwenden
use_practice_bubbles.h	Durch diese Option wird für die Dokumentation der Text aus den Übungs-Bubbles verwendet. Kann auch in Kombination mit 'Text aus Demo-Bubble verwenden' genutzt werden.
wait	Warten auf neue Seite
wait.h	Der hier eingetragene Wert legt fest, wie lange der datango producer während der erneuten Aufnahme auf den Neuaufbau des Bildschirms wartet, bevor er die nächste Aktion in der Applikation durchführt und aufzeichnet. Die Angabe erfolgt in Millisekunden. Sollte der voreingestellte Wert von 2 Sekunden (2000ms) nicht ausreichen, da Ihre Applikation langsamer reagiert, sollten Sie diesen Wert nach oben korrigieren.
webrec	Web-Aufnahme
webrec.h
winrec	Windows-Aufnahme
winrec.h
winrerec	Windows-Aufnahme aktualisieren
winrerec.h
# ui_lang.js
msgReplaceScreenshot	Wollen Sie den vorhandenen Screenshot ersetzen?
capReplaceScreenshot	Screenshot ersetzen
msgReplacePagedump	Wollen Sie den vorhandenen Seitenabzug ersetzen?
capReplacePagedump	Seitenabzug ersetzen
capEditFreeMarker	Freie Markierung bearbeiten
capEnterTextInput	Eingabefeld ausfüllen
capRecordSettings	Einstellungen Aufnahme
capDocSettings	Einstellungen Dokumentation
capScores	Punktzahl
msgSelectRadio	Optionsfeld wählen\n(ESC für Abbrechen)
msgSelectGeneralAction	Klicken Sie auf das Element\n(ESC für Abbrechen)
msgSelectTCODE	Klicken Sie auf das\nTransaktions-Code-Feld\n(ESC für Abbrechen)
msgSelectMenuAction	Klicken Sie auf den Menupunkt\n(ESC für Abbrechen)
msgSelectTextInput	Texteingabefeld wählen\n(ESC für Abbrechen)
msgSelectSingle	Auswahl treffen\n(ESC für Abbrechen)
msgSelectStatusLine	Statuszeile wählen\n(ESC für Abbrechen)
msgSelectPosition	Position auf der Seite wählen\n(ESC für Abbrechen)
msgSelectBubblePos	Bubble-Position wählen\n(ESC für Abbrechen)
msgSelectHighlightPos	Highlight-Position wählen\n(ESC für Abbrechen)
msgConfirmButton	Position Bestätigungsbutton\n(ESC für Ende)
msgReRecordFromHere	Start vom aktuellen Makro
msgRecordPageLoaded	Drücken Sie OK sobald die Seite vollständig geladen ist.
msgRecordPageCopy	Seite kopieren
msgRecordAcceptAnyway	\nTrotzdem fortfahren?
msgRecordStart	Klick für Start
msgRecordNextAction	Nächste Aktion\n(ESC für Ende)
msgRecordStoped	Aufnahme beendet.
msgRecordAborted	Aufnahme abgebrochen.
msgStatusAction	Aktion:
msgSelectHScroll	Horizontalen Scrollbar auswählen\n(ESC für Abbrechen)
msgSelectVScroll	Vertikalen Scrollbar auswählen\n(ESC für Abbrechen)
msgLanguageIs	Die Aufnahmesprache ist
msgNoTranslatableParams	Das Projekt enthält keine übersetzbaren Parameter
capPrepareTranslation	Übersetzung vorbereiten
msgInserted	Eingefügt:
capPptImport	PowerPoint Import
msgPptImport	Bitte öffnen Sie die PowerPoint-Präsentation\nund selektieren Sie die zu importierenden Folien.
width	Breite
height	Höhe
errNoRadiobutton	Kein Optionsfeld an dieser Position!
errNoTextInput	Kein Textfeld an dieser Position!
errNoScreenshotFound	Es gibt keinen Screenshot vor diesem Makro.
errNoSelectSingle	Kein Auswahlfeld an dieser Position!
errNoStatusLine	Keine Statuszeile an dieser Position!
errNoScreenshot	Fehler beim Erzeugen des Screenshot.
errMissingScreenshot	Nicht alle Makros sind mit Screenshots versehen.\n\nSollen diese vorher ergänzt werden?
errReRecordTypeMismatch	Kein passendes Element gefunden
errReRecordTypeMismatch2	Der Typ des gewählten Elements passt nicht zum Original
errReRecordNewType	\nNEU:
errObjectNotRecognizedRightMouse	Objekt nicht erkannt: Rechte Maus '
errObjectNotRecognizedLeftMouse	Objekt nicht erkannt: Linke Maus '
macGotoTourstop	Sprung zu Lernschritt
macEndUnit	Lerneinheit Ende
macQuickClick	Quick Klick
macHinweis	Dok: Hinweis
macExplanationLong	Erklärung
macInputRadio	Optionsfeld
macGeneralAction	Klick auf ...
macInputText	Textfeld
macClickMenu	Klick auf Menü
macClickSAPMenu	Klick auf SAP Menü
macSelectSingle	Auswahlfeld
macFreeMarker	Freie Markierung
macNewHeading	Neuer Abschnitt
macAddArrow	Pfeil hinzufügen
macDocumentation	Dokumentation
macKeyPress	Tastendruck
paramJumpTarget	Sprungziel
dlgJumpTargets	Verzweigung bearbeiten
capNoTargets	Keine Makros gefunden
msgNoTargets	Es wurden keine Makros mit Sprungzielen gefunden.
capNoBranchOn	Kein Verzweigungsanfang
msgNoBranchOn	Es wurde kein passendes Makro 'Verzweigung Anfang' gefunden.
capHaveBranch	Verzweigung existiert
capDeleteBranch	Verzweigung löschen
capDeleteForm	Formularmodus löschen
msgDeleteForm	Soll der Formularmodus gelöscht werden?
msgNoFormOff	Ein passendes Makro 'Formular Ende' konnte nicht gefunden werden.
msgNoFormOn	Ein passendes Makro 'Formular Anfang' konnte nicht gefunden werden.
capDeleteQuizSelection	Quizauswahl löschen
msgDeleteQuizSelection	Soll die Quizauswahl gelöscht werden?
msgNoQuizSelectionOff	Ein passendes Makro 'Quizauswahl Ende' konnte nicht gefunden werden.
msgNoQuizSelectionOn	Ein passendes Makro 'Quizauswahl Anfang' konnte nicht gefunden werden.
msgDeleteBranch	Soll die ausgewählte Verzweigung gelöscht werden?
msgNoBranchOff	Es wurde kein passendes Makro 'Verzweigung Ende' gefunden.
msgHaveBranch	In diesem Lernschritt gibt es bereits eine Verzweigung.
msgFormAndBranch	Verzweigung und Formular können nicht gleichzeitig verwendet werden.
capHaveForm	Formularmodus aktiviert
msgHaveForm	Der Formularmodus ist bereits aktiviert.
capHaveQuiz	Quizauswahl aktiviert
msgHaveQuiz	Die Quizauswahl ist bereits aktiviert.
paramCaption	Titel
paramValue	Wert
paramValueHelp	Wertehilfebutton
paramType	Typ
paramTransactionName	Transaktionsname
paramFieldname	Feldbezeichnung
paramExplanationDemo	Demo Erklärung
paramExplanationPrac	Übung Erklärung
paramMarkerPosition	Markierungsposition
paramReRecordLanguage	Sprache
paramText	Text
lang_bg	Bulgarisch
lang_cs	Tschechisch
lang_da	Dänisch
lang_de-DE	Deutsch
lang_el	Griechisch
lang_en-GB	Englisch (UK)
lang_en-US	Englisch (US)
lang_es-ES	Spanisch
lang_et	Estnisch
lang_fi	Finnisch
lang_fr-CA	Französisch (CA)
lang_fr-FR	Französisch (FR)
lang_hi	Hindi
lang_hr-HR	Kroatisch
lang_hu	Ungarisch
lang_id	Indonesisch
lang_it-IT	Italienisch
lang_ja	Japanisch
lang_ko	Koreanisch
lang_lt	Litauisch
lang_lv	Lettisch
lang_nl-NL	Niederländisch
lang_nb	Norwegisch
lang_pl	Polnisch
lang_pt-PT	Portugiesisch (Portugal)
lang_pt-BR	Portugiesisch (Brasilien)
lang_ro	Rumänisch
lang_ru	Russisch
lang_sk	Slovakisch
lang_sl	Slowenisch
lang_sv-SE	Schwedisch
lang_th	Thailändisch
lang_tr	Türkisch
lang_uk	Ukrainisch
lang_vi	Vietnamesisch
lang_zh-CN	Chinesisch
lang_zh-TW	Chinesisch (Taiwan)
paramStartAtCurrentMacro	Ab akt. Makro
paramStrictTypeCheck	Strenge Typkontrolle
paramKeepCrop	Zuschnitt erhalten
paramReRecordWait	Reaktionszeit(ms)
paramReRecordInteractive	Interaktiv
paramReplaceBubbleTxt	Text ersetzen
paramLangDependentType	Sprachabhängiger Typ
paramRequiredType	Erforderlicher Typ
paramFoundType	Aktueller Typ
msgSelectObject	Bitte zeigen Sie auf das korrekte Seitenelement.
paramKeypressRemind	Es wurde kein Eingabefeld aufgezeichnet.
paramRecordHotkey	Die Eingabe wird als Tastaturkürzel interpretiert.
paramNoRecordKeypress	Die Tastatureingabe wird nicht verarbeitet.
paramNoRemindTillClick	Diese Meldung bis zum nächsten Klick nicht anzeigen.
paramCheckPosition	Alte Element-Position Berücksichtigen
paramConfirmTab	Tab-Taste bestätigt
paramConfirmEnter	Enter-Taste bestätigt
paramConfirmButton	Buttonklick bestätigt
paramKeyName	Taste
progressMacros	Makros verarbeitet: %.0lf von %.0lf
msgGenerateDocumentation	Dokumentation erzeugen
msgFNFContinueAnyway	\nkonnte nicht geladen werden.\nTrotzdem fortsetzen?
msgOpenDocumentation	Wollen Sie die erzeugte Dokumentation jetzt öffnen?
msgDocFinished	Dokumentation fertiggestellt
msgRerecordingStopped	Kein kompatibles Steuerelement an der gegebenen Position! Erneut Aufnehmen gestoppt.
msgRerecordSuccess	Erneut Aufnehmen erfolgreich durchgeführt.
docSAPMenuPath	Menüpfad
docSAPTransaction	Transaktion
cfgDocTemplate	Dok.-Vorlage
cfgImageScale	Bildskalierung (%)
cfgMarkerBorder	Mark.-Stärke
cfgMarkerColor	Mark.-Farbe
cfgMarkerTextColor	Mark.-Textfarbe
cfgMarkerBgColor	Mark.-Hintergrund
cfgGlobalIndex	Durchnummerieren
cfgOnlyWindow0	Immer Window 0
cfgDefaultBubbleDuration	Bubbledauer
cfgUseDemoBubbles	Demotext
cfgUsePracticeBubbles	Übungstext
cfgMasteryScore	Mindestpunkte (%)
cfgWebrecSpanIsLink	SPANs als Links
cfgWebrecDivIsLink	DIVs als Links
docTableHeaderStep	Schritt
docTableHeaderAction	Aktion
docTableHeaderInput	Eingabe
docTableHeaderExpectedResults	Erwartete Ergebnisse
docTableHeaderPassed	Bestanden
docTableHeaderFailed	Durchgefallen
mchoice	Mehrfachauswahl
points	Punkte
points.h	Gibt den Punktwert an, mit der eine richtig beantwortete Frage bewertet wird. In der Grundeinstellung ist dieser Wert auf '1' gesetzt.
correct_answer	Richtige Antwort
correct_answer.h
question	Frage
question.h	Über diesen Parameter kann die Frage bzw. Aufgabe für den Quiz eingefügt werden.
matchquestion	Frage
matchquestion.h	Über diesen Parameter kann die Frage bzw. Aufgabe für den Quiz eingefügt werden.
question_1	Frage 1
question_1.h	Beinhaltet eine Frage bzw. den Text dem eine Antwort zugewiesen werden muss.
question_2	Frage 2
question_2.h	Beinhaltet eine Frage bzw. den Text dem eine Antwort zugewiesen werden muss.
question_3	Frage 3
question_3.h	Beinhaltet eine Frage bzw. den Text dem eine Antwort zugewiesen werden muss.
question_4	Frage 4
question_4.h	Beinhaltet eine Frage bzw. den Text dem eine Antwort zugewiesen werden muss.
question_5	Frage 5
question_5.h	Beinhaltet eine Frage bzw. den Text dem eine Antwort zugewiesen werden muss.
question_6	Frage 6
question_6.h	Beinhaltet eine Frage bzw. den Text dem eine Antwort zugewiesen werden muss.
question_7	Frage 7
question_7.h	Beinhaltet eine Frage bzw. den Text dem eine Antwort zugewiesen werden muss.
question_8	Frage 8
question_8.h	Beinhaltet eine Frage bzw. den Text dem eine Antwort zugewiesen werden muss.
answer_1	Antwort 1
answer_1.h	Enthält eine Antwort für diesen Quiz.
answer_2	Antwort 2
answer_2.h	Enthält eine Antwort für diesen Quiz.
answer_3	Antwort 3
answer_3.h	Enthält eine Antwort für diesen Quiz.
answer_4	Antwort 4
answer_4.h	Enthält eine Antwort für diesen Quiz.
answer_5	Antwort 5
answer_5.h	Enthält eine Antwort für diesen Quiz.
answer_6	Antwort 6
answer_6.h	Enthält eine Antwort für diesen Quiz.
answer_7	Antwort 7
answer_7.h	Enthält eine Antwort für diesen Quiz.
answer_8	Antwort 8
answer_8.h	Enthält eine Antwort für diesen Quiz.
last_page_pause	Pause
last_page_pause.h	Dieser Parameter bestimmt die Dauer, bis die Lerneinheit beendet wird.
answer_1_correct	Antwort 1 richtig
answer_1_correct.h	Mit Aktivierung dieses Parameters wird die Richtigkeit dieser Antwort festgelegt.
answer_2_correct	Antwort 2 richtig
answer_2_correct.h	Mit Aktivierung dieses Parameters wird die Richtigkeit dieser Antwort festgelegt.
answer_3_correct	Antwort 3 richtig
answer_3_correct.h	Mit Aktivierung dieses Parameters wird die Richtigkeit dieser Antwort festgelegt.
answer_4_correct	Antwort 4 richtig
answer_4_correct.h	Mit Aktivierung dieses Parameters wird die Richtigkeit dieser Antwort festgelegt.
answer_5_correct	Antwort 5 richtig
